source,E_MeV,eta_rad,sin2theta12_reference,dm21_reference_eV2,Pee_day,Pee_night,delta_Pee_earth
B8,8.372192513368985,0.70714,0.308,7.42e-05,0.33830219634827063,0.34046347637623786,0.0021612800279672273
B8,8.472459893048129,0.70714,0.308,7.42e-05,0.33736524534544793,0.349909260708038,0.012544015362590089
B8,8.572727272727274,0.70714,0.308,7.42e-05,0.33645370799313756,0.3498603506754371,0.013406642682299519
B8,8.672994652406418,0.70714,0.308,7.42e-05,0.33556681515931447,0.3369535188852211,0.0013867037259066572
B8,8.773262032085562,0.70714,0.308,7.42e-05,0.33470381894636847,0.3557386774906373,0.021034858544268842
B8,8.873529411764707,0.70714,0.308,7.42e-05,0.3338639924949225,0.33947345361327663,0.005609461118354142
B8,8.973796791443851,0.70714,0.308,7.42e-05,0.3330466297405971,0.34018126335239174,0.007134633611794616
B8,9.074064171122997,0.70714,0.308,7.42e-05,0.3322510451301508,0.3543347414724628,0.022083696342311998
B8,9.17433155080214,0.70714,0.308,7.42e-05,0.331476573302819,0.3339860925426256,0.0025095192398066346
B8,9.274598930481284,0.70714,0.308,7.42e-05,0.33072256874213507,0.34046716560868967,0.0097445968665546
B8,9.374866310160428,0.70714,0.308,7.42e-05,0.329988405403017,0.3520333324091178,0.022044927006100834
B8,9.475133689839572,0.70714,0.308,7.42e-05,0.32927347631841714,0.3320303188245336,0.0027568425061164636
B8,9.575401069518716,0.70714,0.308,7.42e-05,0.32857719318942297,0.3363122426424526,0.007735049453029608
B8,9.67566844919786,0.70714,0.308,7.42e-05,0.3278989859622673,0.35034410798036963,0.022445122018102337
B8,9.775935828877008,0.70714,0.308,7.42e-05,0.3272383023953664,0.33354104023118125,0.0063027378358148645
B8,9.87620320855615,0.70714,0.308,7.42e-05,0.3265946076191509,0.32928708548798774,0.0026924778688368622
B8,9.976470588235294,0.70714,0.308,7.42e-05,0.3259673836911497,0.3461576076847356,0.020190223993585887
B8,10.07673796791444,0.70714,0.308,7.42e-05,0.32535612914850554,0.33918510006200003,0.013828970913494498
B8,10.177005347593584,0.70714,0.308,7.42e-05,0.32476035855985164,0.324549474023092,-0.00021088453675965901
B8,10.277272727272727,0.70714,0.308,7.42e-05,0.3241796020782299,0.33584232791663104,0.011662725838401167
B8,10.377540106951871,0.70714,0.308,7.42e-05,0.3236134049965288,0.3443337471239746,0.02072034212744578
B8,10.477807486631017,0.70714,0.308,7.42e-05,0.32306132730673176,0.3294815490356562,0.0064202217289244246
B8,10.57807486631016,0.70714,0.308,7.42e-05,0.3225229432640843,0.32369793961642646,0.0011749963523421392
B8,10.678342245989306,0.70714,0.308,7.42e-05,0.3219978409571254,0.3381768393326475,0.016178998375522113
B8,10.77860962566845,0.70714,0.308,7.42e-05,0.3214856218844134,0.3409802599248484,0.019494638040434997
B8,10.878877005347594,0.70714,0.308,7.42e-05,0.32098590053861437,0.3256210998507399,0.004635199312125526
B8,10.97914438502674,0.70714,0.308,7.42e-05,0.32049830399853696,0.32235816251890637,0.0018598585203694062
B8,11.079411764705885,0.70714,0.308,7.42e-05,0.32002247152958335,0.3369662999192685,0.016943828389685167
B8,11.179679144385029,0.70714,0.308,7.42e-05,0.31955805419298433,0.3411991479670556,0.02164109377407125
B8,11.279946524064172,0.70714,0.308,7.42e-05,0.31910471446413063,0.32670802179415886,0.0076033073300282306
B8,11.380213903743316,0.70714,0.308,7.42e-05,0.31866212586021825,0.3189821475052533,0.00032002164503502906
B8,11.48048128342246,0.70714,0.308,7.42e-05,0.31822997257736996,0.3314121835623842,0.013182210985014264
B8,11.580748663101604,0.70714,0.308,7.42e-05,0.3178079491373424,0.34314074543173995,0.025332796294397553
B8,11.68101604278075,0.70714,0.308,7.42e-05,0.31739576004387127,0.3347537140634127,0.017357954019541433
B8,11.781283422459891,0.70714,0.308,7.42e-05,0.31699311944867314,0.31911452138657587,0.0021214019379027227
B8,11.88155080213904,0.70714,0.308,7.42e-05,0.3165997508270614,0.3201325606366047,0.003532809809543347
B8,11.981818181818182,0.70714,0.308,7.42e-05,0.3162153866631461,0.3366299612234491,0.020414574560303045
B8,12.082085561497326,0.70714,0.308,7.42e-05,0.31583976814450176,0.3450623798239654,0.02922261167946366
B8,12.182352941176472,0.70714,0.308,7.42e-05,0.3154726448662078,0.33347889068289144,0.01800624581668364
B8,12.282620320855616,0.70714,0.308,7.42e-05,0.31511377454412365,0.3173785433460592,0.002264768801935546
B8,12.38288770053476,0.70714,0.308,7.42e-05,0.31476292273725087,0.3179006967282537,0.0031377739910028457
B8,12.483155080213905,0.70714,0.308,7.42e-05,0.3144198625790097,0.3346188403809521,0.020198977801942353
