source,E_MeV,eta_rad,sin2theta12,dm21_eV2,dm21_1e5_eV2,Pee_day,Pee_night,delta_Pee_earth
B8,7.0,0.25,0.24,5.875e-05,5.874999999999999,0.28720241049256046,0.3021327863145956,0.014930375822035158
B8,10.0,0.25,0.24,5.875e-05,5.874999999999999,0.256436825306613,0.26603018530746697,0.009593360000853979
B8,12.0,0.25,0.24,5.875e-05,5.874999999999999,0.24736012430865156,0.2543926670499061,0.007032542741254533
B8,14.0,0.25,0.24,5.875e-05,5.874999999999999,0.24200017062997664,0.3302055091313489,0.08820533850137224
B8,5.0,0.8,0.24,5.875e-05,5.874999999999999,0.33702026356786496,0.34608197947558317,0.009061715907718204
B8,7.0,0.8,0.24,5.875e-05,5.874999999999999,0.28720241049256046,0.30210790899675066,0.014905498504190207
B8,10.0,0.8,0.24,5.875e-05,5.874999999999999,0.256436825306613,0.27883486354707504,0.022398038240462048
B8,12.0,0.8,0.24,5.875e-05,5.874999999999999,0.24736012430865156,0.24908787679161742,0.0017277524829658608
B8,14.0,0.8,0.24,5.875e-05,5.874999999999999,0.24200017062997664,0.2832607298922079,0.04126055926223127
B8,5.0,1.25,0.24,5.875e-05,5.874999999999999,0.33702026356786496,0.3384604379091277,0.0014401743412627566
B8,7.0,1.25,0.24,5.875e-05,5.874999999999999,0.28720241049256046,0.30245298151892164,0.015250571026361182
B8,10.0,1.25,0.24,5.875e-05,5.874999999999999,0.256436825306613,0.2768574471717121,0.02042062186509913
B8,12.0,1.25,0.24,5.875e-05,5.874999999999999,0.24736012430865156,0.26533448043788543,0.01797435612923387
B8,14.0,1.25,0.24,5.875e-05,5.874999999999999,0.24200017062997664,0.2787942646834543,0.036794094053477666
B8,5.0,0.25,0.24,6e-05,6.0,0.34076950334117584,0.3453420044046846,0.00457250106350876
B8,7.0,0.25,0.24,6e-05,6.0,0.28969243610792755,0.2834557296794132,-0.006236706428514371
B8,10.0,0.25,0.24,6e-05,6.0,0.2577124410493411,0.2920455144611569,0.034333073411815795
B8,12.0,0.25,0.24,6e-05,6.0,0.2482236789971785,0.31924078179519555,0.07101710279801704
B8,14.0,0.25,0.24,6e-05,6.0,0.2426140906172452,0.24114609544315918,-0.001467995174086023
B8,5.0,0.8,0.24,6e-05,6.0,0.34076950334117584,0.34843760580365524,0.007668102462479398
B8,7.0,0.8,0.24,6e-05,6.0,0.28969243610792755,0.29061922238231347,0.0009267862743859157
B8,10.0,0.8,0.24,6e-05,6.0,0.2577124410493411,0.2611751779377851,0.003462736888444007
B8,12.0,0.8,0.24,6e-05,6.0,0.2482236789971785,0.273266581728522,0.025042902731343464
B8,14.0,0.8,0.24,6e-05,6.0,0.2426140906172452,0.2602485576472287,0.017634467029983503
B8,5.0,1.25,0.24,6e-05,6.0,0.34076950334117584,0.3453741352072343,0.004604631866058473
B8,7.0,1.25,0.24,6e-05,6.0,0.28969243610792755,0.2997281712996572,0.010035735191729622
B8,10.0,1.25,0.24,6e-05,6.0,0.2577124410493411,0.28408085837486846,0.02636841732552736
B8,12.0,1.25,0.24,6e-05,6.0,0.2482236789971785,0.2507015661830535,0.002477887185874994
B8,14.0,1.25,0.24,6e-05,6.0,0.2426140906172452,0.26234992387935985,0.019735833262114644
B8,5.0,0.25,0.24,6.125e-05,6.124999999999999,0.34449894447313784,0.3597170253616621,0.015218080888524277
B8,7.0,0.25,0.24,6.125e-05,6.124999999999999,0.2922128462015311,0.2969921766762323,0.004779330474701193
B8,10.0,0.25,0.24,6.125e-05,6.124999999999999,0.2590168386187082,0.253193324310895,-0.005823514307813249
B8,12.0,0.25,0.24,6.125e-05,6.124999999999999,0.24910878768651243,0.24723044283818452,-0.001878344848327912
B8,14.0,0.25,0.24,6.125e-05,6.124999999999999,0.24324395279874125,0.29218123041609173,0.04893727761735048
B8,5.0,0.8,0.24,6.125e-05,6.124999999999999,0.34449894447313784,0.34893314911531825,0.004434204642180417
B8,7.0,0.8,0.24,6.125e-05,6.124999999999999,0.2922128462015311,0.3004324277070952,0.008219581505564122
B8,10.0,0.8,0.24,6.125e-05,6.124999999999999,0.2590168386187082,0.2748513481681665,0.015834509549458253
B8,12.0,0.8,0.24,6.125e-05,6.124999999999999,0.24910878768651243,0.2765207420365919,0.027411954350079454
B8,14.0,0.8,0.24,6.125e-05,6.124999999999999,0.24324395279874125,0.24651272579458097,0.0032687729958397194
B8,5.0,1.25,0.24,6.125e-05,6.124999999999999,0.34449894447313784,0.35011332850138904,0.005614384028251207
B8,7.0,1.25,0.24,6.125e-05,6.124999999999999,0.2922128462015311,0.29220674487943366,-6.101322097440409e-06
B8,10.0,1.25,0.24,6.125e-05,6.124999999999999,0.2590168386187082,0.27305200014238634,0.014035161523678119
B8,12.0,1.25,0.24,6.125e-05,6.124999999999999,0.24910878768651243,0.2511766131203856,0.002067825433873155
B8,14.0,1.25,0.24,6.125e-05,6.124999999999999,0.24324395279874125,0.24710233903581416,0.0038583862370729083
B8,5.0,0.25,0.24,6.25e-05,6.25,0.3482045854525924,0.35479584753639504,0.006591262083802618
B8,7.0,0.25,0.24,6.25e-05,6.25,0.2947612260645984,0.2975676531080451,0.002806427043446691
B8,10.0,0.25,0.24,6.25e-05,6.25,0.260349580059326,0.25437160086761673,-0.005977979191709282
B8,12.0,0.25,0.24,6.25e-05,6.25,0.25001536111345957,0.29118740400444243,0.04117204289098286
B8,14.0,0.25,0.24,6.25e-05,6.25,0.2438897758051814,0.2577320229273858,0.013842247122204387
B8,5.0,0.8,0.24,6.25e-05,6.25,0.3482045854525924,0.34956064511998075,0.0013560596673883318
B8,7.0,0.8,0.24,6.25e-05,6.25,0.2947612260645984,0.3066897651598569,0.011928539095258484
B8,10.0,0.8,0.24,6.25e-05,6.25,0.260349580059326,0.2686006298797663,0.008251049820440282
B8,12.0,0.8,0.24,6.25e-05,6.25,0.25001536111345957,0.25046948324204027,0.0004541221285807029
B8,14.0,0.8,0.24,6.25e-05,6.25,0.2438897758051814,0.2824252744107904,0.03853549860560901
B8,5.0,1.25,0.24,6.25e-05,6.25,0.3482045854525924,0.348675568205583,0.00047098275299056747
B8,7.0,1.25,0.24,6.25e-05,6.25,0.2947612260645984,0.30376916801010184,0.009007941945503417
B8,10.0,1.25,0.24,6.25e-05,6.25,0.260349580059326,0.26123533126206544,0.0008857512027394265
B8,12.0,1.25,0.24,6.25e-05,6.25,0.25001536111345957,0.2659987368448878,0.015983375731428218
B8,14.0,1.25,0.24,6.25e-05,6.25,0.2438897758051814,0.2445796034255557,0.0006898276203743114
B8,5.0,0.25,0.24,6.375e-05,6.375,0.35188272412943994,0.3523167275366393,0.00043400340719934594
B8,7.0,0.25,0.24,6.375e-05,6.375,0.29733515463700744,0.299715122516442,0.0023799678794345636
B8,10.0,0.25,0.24,6.375e-05,6.375,0.2617101951100081,0.28354388855566254,0.021833693445654445
B8,12.0,0.25,0.24,6.375e-05,6.375,0.25094329249876735,0.24388145740590308,-0.00706183509286426
B8,14.0,0.25,0.24,6.375e-05,6.375,0.24455156927869268,0.23419985100664273,-0.010351718272049948
B8,5.0,0.8,0.24,6.375e-05,6.375,0.35188272412943994,0.3519267561269763,4.403199753638676e-05
