E_MeV,T_e_MeV,T_max_MeV,dsigma_nue_cm2_per_MeV,dsigma_nux_cm2_per_MeV
13.385561497326204,9.5,13.134847572501348,9.212186220300406e-45,1.3517528299200577e-45
13.385561497326204,9.600000000000001,13.134847572501348,9.207411580656145e-45,1.3481144742498996e-45
13.385561497326204,9.700000000000001,13.134847572501348,9.202739762692761e-45,1.3445789402606126e-45
13.385561497326204,9.8,13.134847572501348,9.198170766410246e-45,1.3411462279521964e-45
13.385561497326204,9.9,13.134847572501348,9.193704591808601e-45,1.337816337324652e-45
13.385561497326204,10.0,13.134847572501348,9.189341238887827e-45,1.3345892683779782e-45
13.385561497326204,10.100000000000001,13.134847572501348,9.185080707647924e-45,1.3314650211121753e-45
13.385561497326204,10.200000000000001,13.134847572501348,9.180922998088893e-45,1.328443595527244e-45
13.385561497326204,10.3,13.134847572501348,9.176868110210731e-45,1.3255249916231837e-45
13.385561497326204,10.4,13.134847572501348,9.172916044013445e-45,1.3227092093999946e-45
13.385561497326204,10.5,13.134847572501348,9.169066799497026e-45,1.3199962488576761e-45
13.385561497326204,10.600000000000001,13.134847572501348,9.165320376661478e-45,1.317386109996229e-45
13.385561497326204,10.700000000000001,13.134847572501348,9.161676775506802e-45,1.3148787928156535e-45
13.385561497326204,10.8,13.134847572501348,9.158135996032997e-45,1.3124742973159486e-45
13.385561497326204,10.9,13.134847572501348,9.154698038240066e-45,1.3101726234971149e-45
13.385561497326204,11.0,13.134847572501348,9.151362902128003e-45,1.3079737713591524e-45
13.385561497326204,11.100000000000001,13.134847572501348,9.14813058769681e-45,1.3058777409020611e-45
13.385561497326204,11.200000000000001,13.134847572501348,9.145001094946489e-45,1.3038845321258405e-45
13.385561497326204,11.3,13.134847572501348,9.141974423877042e-45,1.3019941450304914e-45
13.385561497326204,11.4,13.134847572501348,9.139050574488464e-45,1.3002065796160136e-45
13.385561497326204,11.5,13.134847572501348,9.136229546780758e-45,1.2985218358824064e-45
13.385561497326204,11.600000000000001,13.134847572501348,9.133511340753921e-45,1.2969399138296706e-45
13.385561497326204,11.700000000000001,13.134847572501348,9.130895956407958e-45,1.2954608134578062e-45
13.385561497326204,11.8,13.134847572501348,9.128383393742863e-45,1.2940845347668124e-45
13.385561497326204,11.9,13.134847572501348,9.125973652758641e-45,1.29281107775669e-45
13.385561497326204,12.0,13.134847572501348,9.123666733455292e-45,1.2916404424274385e-45
13.385561497326204,12.100000000000001,13.134847572501348,9.121462635832811e-45,1.2905726287790581e-45
13.385561497326204,12.200000000000001,13.134847572501348,9.119361359891203e-45,1.2896076368115493e-45
13.385561497326204,12.3,13.134847572501348,9.117362905630464e-45,1.288745466524911e-45
13.385561497326204,12.4,13.134847572501348,9.115467273050596e-45,1.2879861179191442e-45
13.385561497326204,12.5,13.134847572501348,9.113674462151599e-45,1.2873295909942485e-45
13.385561497326204,12.600000000000001,13.134847572501348,9.111984472933476e-45,1.2867758857502238e-45
13.385561497326204,12.700000000000001,13.134847572501348,9.110397305396222e-45,1.2863250021870702e-45
13.385561497326204,12.8,13.134847572501348,9.10891295953984e-45,1.285976940304788e-45
13.385561497326204,12.9,13.134847572501348,9.10753143536433e-45,1.2857317001033765e-45
13.385561497326204,13.0,13.134847572501348,9.106252732869689e-45,1.2855892815828363e-45
13.385561497326204,13.100000000000001,13.134847572501348,9.105076852055921e-45,1.2855496847431673e-45
13.385561497326204,13.200000000000001,13.134847572501348,0.0,0.0
13.385561497326204,13.3,13.134847572501348,0.0,0.0
13.385561497326204,13.4,13.134847572501348,0.0,0.0
13.385561497326204,13.5,13.134847572501348,0.0,0.0
13.385561497326204,13.600000000000001,13.134847572501348,0.0,0.0
13.385561497326204,13.700000000000001,13.134847572501348,0.0,0.0
13.385561497326204,13.8,13.134847572501348,0.0,0.0
13.385561497326204,13.9,13.134847572501348,0.0,0.0
13.385561497326204,14.0,13.134847572501348,0.0,0.0
13.385561497326204,14.100000000000001,13.134847572501348,0.0,0.0
13.385561497326204,14.200000000000001,13.134847572501348,0.0,0.0
13.385561497326204,14.3,13.134847572501348,0.0,0.0
13.385561497326204,14.4,13.134847572501348,0.0,0.0
13.385561497326204,14.5,13.134847572501348,0.0,0.0
13.385561497326204,14.600000000000001,13.134847572501348,0.0,0.0
13.385561497326204,14.700000000000001,13.134847572501348,0.0,0.0
13.385561497326204,14.8,13.134847572501348,0.0,0.0
13.385561497326204,14.9,13.134847572501348,0.0,0.0
13.385561497326204,15.0,13.134847572501348,0.0,0.0
13.385561497326204,15.100000000000001,13.134847572501348,0.0,0.0
13.385561497326204,15.200000000000001,13.134847572501348,0.0,0.0
13.385561497326204,15.3,13.134847572501348,0.0,0.0
13.385561497326204,15.4,13.134847572501348,0.0,0.0
13.385561497326204,15.5,13.134847572501348,0.0,0.0
13.385561497326204,15.600000000000001,13.134847572501348,0.0,0.0
13.385561497326204,15.700000000000001,13.134847572501348,0.0,0.0
13.385561497326204,15.8,13.134847572501348,0.0,0.0
13.385561497326204,15.9,13.134847572501348,0.0,0.0
13.385561497326204,16.0,13.134847572501348,0.0,0.0
13.385561497326204,16.1,13.134847572501348,0.0,0.0
13.385561497326204,16.2,13.134847572501348,0.0,0.0
13.385561497326204,16.3,13.134847572501348,0.0,0.0
13.385561497326204,16.400000000000002,13.134847572501348,0.0,0.0
13.385561497326204,16.5,13.134847572501348,0.0,0.0
13.385561497326204,16.6,13.134847572501348,0.0,0.0
13.385561497326204,16.7,13.134847572501348,0.0,0.0
13.385561497326204,16.8,13.134847572501348,0.0,0.0
13.385561497326204,16.900000000000002,13.134847572501348,0.0,0.0
13.385561497326204,17.0,13.134847572501348,0.0,0.0
13.385561497326204,17.1,13.134847572501348,0.0,0.0
13.385561497326204,17.2,13.134847572501348,0.0,0.0
13.385561497326204,17.3,13.134847572501348,0.0,0.0
13.385561497326204,17.400000000000002,13.134847572501348,0.0,0.0
13.385561497326204,17.5,13.134847572501348,0.0,0.0
13.385561497326204,17.6,13.134847572501348,0.0,0.0
13.385561497326204,17.7,13.134847572501348,0.0,0.0
13.385561497326204,17.8,13.134847572501348,0.0,0.0
13.385561497326204,17.900000000000002,13.134847572501348,0.0,0.0
13.385561497326204,18.0,13.134847572501348,0.0,0.0
13.485828877005348,0.0,13.23508003309814,1.0134643851277216e-44,2.1662634833573844e-45
