E_MeV,shape
6.799999999999999,0.11197343962006846
6.85,0.11239445096151295
6.8999999999999995,0.11279828721675073
6.949999999999999,0.11318485182621323
6.999999999999999,0.11355405252186843
7.049999999999999,0.11390580132722067
7.1,0.11424001455731055
7.1499999999999995,0.11455661281871508
7.199999999999999,0.11485552100954767
7.249999999999999,0.11513666831945814
7.299999999999999,0.11539998822963267
7.35,0.1156454185127938
7.3999999999999995,0.11587290123320042
7.449999999999999,0.11608238274664777
7.499999999999999,0.11627381370046762
7.549999999999999,0.116447149033528
7.599999999999999,0.11660234797623331
7.6499999999999995,0.11673937405052434
7.699999999999999,0.11685819506987825
7.749999999999999,0.1169587831393086
7.799999999999999,0.11704111465536542
7.849999999999999,0.11710517030613489
7.8999999999999995,0.11715093507123976
7.949999999999999,0.11717839822183901
7.999999999999999,0.11718755332062815
8.049999999999999,0.11717839822183901
8.1,0.11715093507123973
8.15,0.11710517030613488
8.2,0.11704111465536543
8.25,0.11695878313930863
8.3,0.11685819506987825
8.35,0.11673937405052431
8.4,0.11660234797623328
8.45,0.11644714903352801
8.5,0.11627381370046763
8.55,0.11608238274664777
8.6,0.11587290123320039
8.65,0.1156454185127938
8.7,0.1153999882296327
8.75,0.11513666831945817
8.8,0.11485552100954767
8.85,0.11455661281871506
8.9,0.11424001455731055
8.95,0.11390580132722068
9.0,0.11355405252186847
9.05,0.11318485182621323
9.1,0.1127982872167507
9.15,0.11239445096151295
9.2,0.11197343962006848
9.25,0.1115353540435221
9.3,0.11108029937451508
9.35,0.11060838504722499
9.4,0.11011972478736581
9.45,0.1096144366121879
9.5,0.10909264283047797
9.55,0.10855447004255915
9.6,0.10800004914029095
9.65,0.10742951530706915
9.7,0.10684300801782606
9.75,0.10624067103903023
9.8,0.1056226524286867
9.85,0.10498910453633682
9.9,0.1043401840030583
9.95,0.10367605176146534
10.0,0.10299687303570836
10.05,0.10230281734147423
10.1,0.10159405848598627
10.15,0.10087077456800402
10.2,0.10013314797782354
10.25,0.09938136539727715
10.3,0.09861561779973366
10.35,0.09783610045009816
10.4,0.09704301290481218
10.45,0.09623655901185364
10.5,0.0954169469107367
10.55,0.09458438903251205
10.6,0.09373910209976676
10.65,0.09288130712662412
10.7,0.09201122941874396
10.75,0.0911290985733224
10.799999999999999,0.09023514847909196
10.85,0.08932961731632154
10.9,0.08841274755681638
10.95,0.0874847859639182
11.0,0.08654598359250494
11.049999999999999,0.08559659578899109
11.1,0.08463688219132734
11.15,0.08366710672900085
11.2,0.08268753762303525
11.25,0.08169844738599034
11.299999999999999,0.08070011282196249
11.35,0.07969281502658425
11.4,0.07867683938702476
11.45,0.0776524755819894
11.5,0.07662001758171992
11.549999999999999,0.07557976364799456
11.6,0.07453201633412779
11.65,0.07347708248497054
11.7,0.07241527323691019
11.75,0.07134690401787028
11.799999999999999,0.07027229454731097
11.85,0.06919176883622861
11.9,0.06810565518715606
11.95,0.06701428619416246
12.0,0.06591799874285335
12.049999999999999,0.06481713401037073
12.1,0.06371203746539282
12.15,0.06260305886813435
12.2,0.061490552270346395
12.25,0.060374876015316346
12.299999999999999,0.05925639273786809
12.35,0.058135469364361717
12.4,0.05701247711269386
12.45,0.055887791492297466
12.5,0.05476179230414181
12.549999999999999,0.053634863640732645
12.6,0.05250739388611198
12.65,0.0513797757158583
12.7,0.050252406097086456
12.75,0.04912568628844758
12.799999999999999,0.04800002184012933
12.85,0.04687582259385557
12.9,0.045753502682886686
12.95,0.044633480532019425
13.0,0.04351617885758678
13.049999999999999,0.0424020246674583
13.1,0.04129144926103974
13.15,0.04018488822927336
13.2,0.03908278145463777
13.25,0.03798557311114787
13.299999999999999,0.03689371166435508
13.35,0.035807649871347054
13.4,0.03472784478074791
13.45,0.03365475773271817
13.5,0.032588854358954596
13.549999999999999,0.03153060458269049
13.6,0.030480482618695393
13.65,0.02943896697327531
13.7,0.02840654044427263
13.75,0.027383690121066017
13.799999999999999,0.026370907384570645
13.85,0.025368687907237935
13.9,0.024377531653055774
13.95,0.023397942877548452
14.0,0.02243043012777649
14.049999999999999,0.021475506242336954
14.1,0.020533688351363155
14.15,0.01960549787652486
14.2,0.01869146053102822
14.25,0.017792106319615676
14.299999999999999,0.016907969538566155
14.35,0.016039588775694846
14.4,0.015187506910353404
14.45,0.014352271113429868
14.5,0.013534432847348551
14.549999999999999,0.012734547866070268
14.6,0.011953176215092096
14.65,0.011190882231447569
14.7,0.010448234543706598
14.75,0.009725806071975391
14.799999999999999,0.009024174027896638
14.85,0.008343919914649304
14.9,0.007685629526948805
14.95,0.007049892951046927
15.0,0.006437304564731772
15.049999999999999,0.005848463037327903
15.1,0.005283971329696173
15.149999999999999,0.004744436694233896
15.2,0.004230470674874685
15.25,0.003742689107088582
15.299999999999999,0.0032817121178820084
15.35,0.0028481641257977093
15.399999999999999,0.002442673840914871
15.45,0.002065874264848996
15.5,0.0017184026907520091
15.549999999999999,0.0014009007033122054
15.6,0.0011140141787542234
15.649999999999999,0.000858393284839122
15.7,0.0006346924808642968
15.75,0.0004435705176635487
15.799999999999999,0.00028569043760705005
15.85,0.00016171957460133353
15.899999999999999,7.232955408932823e-05
15.95,1.8196293050324682e-05
16.0,0.0
