E_MeV,Pee_vacuum,Pee_day,Pee_night_reference,delta_Pee_earth_reference,sin2theta12_reference,dm21_eV2_reference
4.65,0.54955050971648,0.381754153891352,0.3881722439366295,0.006418090045277547,0.307,7.42e-05
4.7,0.54955050971648,0.38049666928562387,0.3870086416312781,0.00651197234565426,0.307,7.42e-05
4.75,0.54955050971648,0.379257890905318,0.3858635377434572,0.006605646838139245,0.307,7.42e-05
4.8,0.54955050971648,0.3780376793728641,0.3847367604398207,0.0066990810669566025,0.307,7.42e-05
4.8500000000000005,0.54955050971648,0.37683588732380535,0.38362812976897676,0.006792242445171404,0.307,7.42e-05
4.9,0.54955050971648,0.3756523599504596,0.38253745822376106,0.006885098273301471,0.307,7.42e-05
4.95,0.54955050971648,0.3744869355311961,0.3814645512893297,0.006977615758133604,0.307,7.42e-05
5.0,0.54955050971648,0.3733394459446999,0.3804092079764299,0.007069762031729987,0.307,7.42e-05
5.05,0.54955050971648,0.37220971716869977,0.37937122133930923,0.007161504170609456,0.307,7.42e-05
5.1000000000000005,0.54955050971648,0.3710975697627352,0.3783503789778232,0.007252809215087974,0.307,7.42e-05
5.15,0.54955050971648,0.37000281933463564,0.3773464635233987,0.007343644188763043,0.307,7.42e-05
5.2,0.54955050971648,0.3689252769904665,0.3763592531085926,0.007433976118126073,0.307,7.42e-05
5.25,0.54955050971648,0.3678647497677839,0.37538852182007026,0.007523772052286382,0.307,7.42e-05
5.3,0.54955050971648,0.3668210410521096,0.37443404013490056,0.00761299908279095,0.307,7.42e-05
5.3500000000000005,0.54955050971648,0.36579395097661116,0.3734955753401343,0.0077016243635231185,0.307,7.42e-05
5.4,0.54955050971648,0.36478327680503303,0.37257289193569687,0.007789615130663841,0.307,7.42e-05
5.45,0.54955050971648,0.3637888132979821,0.3716657520206805,0.007876938722698346,0.307,7.42e-05
5.5,0.54955050971648,0.3628103530627248,0.37077391566317663,0.007963562600451835,0.307,7.42e-05
5.55,0.54955050971648,0.3618476868866974,0.369897141253834,0.00804945436713661,0.307,7.42e-05
5.6000000000000005,0.54955050971648,0.3609006040549748,0.3690351858433686,0.008134581788393769,0.307,7.42e-05
5.65,0.54955050971648,0.35996889265197973,0.36818780546429225,0.008218912812312518,0.307,7.42e-05
5.7,0.54955050971648,0.359052339847745,0.36735475543715423,0.008302415589409251,0.307,7.42e-05
5.75,0.54955050971648,0.35815073216907245,0.36653579066162195,0.008385058492549502,0.307,7.42e-05
5.8,0.54955050971648,0.3572638557559548,0.36573066589275055,0.008466810136795733,0.307,7.42e-05
5.8500000000000005,0.54955050971648,0.3563914966036467,0.36493913600280936,0.008547639399162643,0.307,7.42e-05
5.9,0.54955050971648,0.35553344079078875,0.3641609562290527,0.008627515438263955,0.307,7.42e-05
5.95,0.54955050971648,0.3546894746940029,0.3633958824078351,0.008706407713832187,0.307,7.42e-05
6.0,0.54955050971648,0.3538593851893862,0.36264367119548174,0.008784286006095543,0.307,7.42e-05
6.05,0.54955050971648,0.3530429598413403,0.3619040802763337,0.008861120434993375,0.307,7.42e-05
6.1000000000000005,0.54955050971648,0.3522399870791771,0.36117686855839143,0.008936881479214343,0.307,7.42e-05
6.15,0.54955050971648,0.3514502563619459,0.3604617963569855,0.009011539995039619,0.307,7.42e-05
6.2,0.54955050971648,0.35067355833192787,0.35975862556690286,0.009085067234974986,0.307,7.42e-05
