r_over_Rsun,ne_cm3,ne_over_ne0
0.41000000000000003,2.2248858684123977e+24,0.03708143114020663
0.41200000000000003,2.2010505010232743e+24,0.03668417501705457
0.41400000000000003,2.1775833969420937e+24,0.03629305661570156
0.41600000000000004,2.1544776152847532e+24,0.03590796025474589
0.418,2.1317263555984594e+24,0.03552877259330765
0.42,2.109322954959909e+24,0.03515538258266515
0.422,2.0872608851337993e+24,0.034787681418896654
0.424,2.0655337497903936e+24,0.03442556249650656
0.426,2.044135281780915e+24,0.03406892136301525
0.428,2.0230593404695752e+24,0.03371765567449292
0.43,2.002299909121046e+24,0.033371665152017435
0.432,1.9818510923422285e+24,0.03303085153903714
0.434,1.9617071135771833e+24,0.03269511855961972
0.436,1.9418623126541212e+24,0.03236437187756869
0.438,1.9223111433833636e+24,0.032038519056389395
0.44,1.9030481712052187e+24,0.03171746952008698
0.442,1.8840680708867276e+24,0.03140113451477879
0.444,1.8653656242662666e+24,0.031089427071104445
0.446,1.846935718045013e+24,0.03078226196741688
0.448,1.8287733416242894e+24,0.030479555693738156
0.45,1.810873584987838e+24,0.030181226416463966
0.452,1.793231636628091e+24,0.029887193943801516
0.454,1.775842781515519e+24,0.029597379691925316
0.456,1.7587023991101538e+24,0.029311706651835894
0.458,1.7418059614144254e+24,0.02903009935690709
0.46,1.7251490310664292e+24,0.028752483851107152
0.462,1.7087272594728066e+24,0.02847878765788011
0.464,1.6925363849803935e+24,0.028208939749673225
0.466,1.6765722310858456e+24,0.027942870518097428
0.468,1.6608307046824384e+24,0.027680511744707308
0.47000000000000003,1.6453077943432751e+24,0.02742179657238792
0.47200000000000003,1.6299995686401418e+24,0.027166659477335695
0.47400000000000003,1.6149021744972697e+24,0.02691503624162116
0.47600000000000003,1.600011835579277e+24,0.026666863926321283
0.47800000000000004,1.5853248507125753e+24,0.026422080845209587
0.48,1.570837592339553e+24,0.02618062653899255
0.482,1.5565465050048433e+24,0.02594244175008072
0.484,1.5424481038730184e+24,0.02570746839788364
0.486,1.528538973277046e+24,0.02547564955461743
0.488,1.514815765296878e+24,0.02524692942161463
0.49,1.5012751983675367e+24,0.02502125330612561
0.492,1.4879140559160897e+24,0.024798567598601495
0.494,1.4747291850269063e+24,0.024578819750448438
0.496,1.4617174951346146e+24,0.024361958252243576
0.498,1.4488759567441763e+24,0.024147932612402938
0.5,1.4362016001775197e+24,0.023936693336291996
0.502,1.4236915143461716e+24,0.023728191905769525
0.504,1.4113428455493572e+24,0.023522380759155952
0.506,1.3991527962970285e+24,0.02331921327161714
0.508,1.3871186241573068e+24,0.023118643735955114
0.51,1.3752376406278307e+24,0.022920627343797177
0.512,1.363507210030515e+24,0.02272512016717525
0.514,1.3519247484292267e+24,0.02253207914048711
0.516,1.3404877225699058e+24,0.022341462042831765
0.518,1.3291936488426669e+24,0.022153227480711114
0.52,1.318040092265417e+24,0.02196733487109028
0.522,1.3070246654885466e+24,0.02178374442480911
0.524,1.2961450278202543e+24,0.02160241713033757
0.526,1.285398884272078e+24,0.021423314737867967
0.528,1.2747839846242078e+24,0.021246399743736797
0.53,1.2642981225101703e+24,0.021071635375169505
0.532,1.2539391345204883e+24,0.02089898557534147
0.534,1.2437048993249095e+24,0.020728414988748493
0.536,1.233593336812825e+24,0.020559888946880416
0.538,1.2236024072515003e+24,0.02039337345419167
0.54,1.2137301104617458e+24,0.02022883517436243
0.542,1.2039744850106602e+24,0.020066241416844335
0.544,1.1943336074210997e+24,0.019905560123684995
0.546,1.1848055913975214e+24,0.019746759856625357
0.548,1.1753885870678565e+24,0.019589809784464274
0.55,1.1660807802410859e+24,0.019434679670684765
0.552,1.1568803916801903e+24,0.019281339861336504
0.554,1.1477856763901505e+24,0.019129761273169173
0.556,1.1387949229206906e+24,0.01897991538201151
0.558,1.1299064526834544e+24,0.018831774211390907
0.56,1.121118619283317e+24,0.018685310321388617
0.562,1.1124298078635338e+24,0.018540496797725563
0.5640000000000001,1.103838434464443e+24,0.01839730724107405
0.5660000000000001,1.0953429453954394e+24,0.018255715756590657
0.5680000000000001,1.0869418166199392e+24,0.018115696943665653
0.5700000000000001,1.0786335531530738e+24,0.017977225885884563
0.5720000000000001,1.0704166884718378e+24,0.017840278141197298
0.5740000000000001,1.0622897839374421e+24,0.017704829732290702
0.5760000000000001,1.0542514282296111e+24,0.017570857137160185
0.578,1.046300236792578e+24,0.0174383372798763
0.58,1.0384348512925382e+24,0.017307247521542304
0.582,1.0306539390863168e+24,0.017177565651438614
0.584,1.022956192701022e+24,0.017049269878350367
0.586,1.0153403293244515e+24,0.016922338822074192
0.588,1.0078050903060353e+24,0.01679675150510059
0.59,1.0003492406680847e+24,0.01667248734446808
0.592,9.929715686271485e+23,0.016549526143785808
0.594,9.856708851252497e+23,0.01642784808542083
0.596,9.784460233708115e+23,0.01630743372284686
0.598,9.712958383890618e+23,0.01618826397315103
0.6,9.642192065817238e+23,0.016070320109695398
0.602,9.572150252957995e+23,0.01595358375492999
0.604,9.502822124012527e+23,0.01583803687335421
0.606,9.434197058774143e+23,0.015723661764623573
0.608,9.366264634079231e+23,0.01561044105679872
0.61,9.299014619840221e+23,0.015498357699733702
0.612,9.232436975160474e+23,0.015387394958600791
0.614,9.16652184452927e+23,0.015277536407548784
0.616,9.101259554095314e+23,0.01516876592349219
0.618,9.03664060801709e+23,0.015061067680028484
0.62,8.972655684888495e+23,0.014954426141480823
0.622,8.909295634238154e+23,0.014848826057063589
0.624,8.84655147310091e+23,0.014744252455168184
0.626,8.784414382659994e+23,0.014640690637766657
0.628,8.72287570495838e+23,0.014538126174930633
0.63,8.661926939677918e+23,0.014436544899463196
0.632,8.601559740984812e+23,0.014335932901641353
0.634,8.541765914440092e+23,0.01423627652406682
0.636,8.4825374139737e+23,0.014137562356622835
0.638,8.42386633892089e+23,0.014039777231534817
0.64,8.365744931119647e+23,0.013942908218532744
0.642,8.308165572067842e+23,0.01384694262011307
0.644,8.251120780138907e+23,0.013751867966898179
0.646,8.19460320785479e+23,0.013657672013091317
0.648,8.138605639215015e+23,0.013564342732025024
0.65,8.08312098708069e+23,0.01347186831180115
0.652,8.028142290612295e+23,0.013380237151020491
0.654,7.973662712760155e+23,0.013289437854600258
0.656,7.919675537806523e+23,0.013199459229677538
0.658,7.866174168958139e+23,0.013110290281596899
0.66,7.813152125988285e+23,0.013021920209980473
0.662,7.760603042927281e+23,0.012934338404878802
0.664,7.708520665800393e+23,0.012847534443000656
0.666,7.656898850412228e+23,0.012761498084020379
0.668,7.605731560176574e+23,0.012676219266960958
0.67,7.555012863990834e+23,0.01259168810665139
0.672,7.504736934154031e+23,0.012507894890256718
0.674,7.454898044327555e+23,0.012424830073879256
0.676,7.405490567537737e+23,0.01234248427922956
0.678,7.356508974219375e+23,0.012260848290365625
0.68,7.307947830299383e+23,0.012179913050498972
0.682,7.259801795319696e+23,0.01209966965886616
0.684,7.212065620598669e+23,0.012020109367664449
0.686,7.164734147430136e+23,0.011941223579050227
0.6880000000000001,7.117802305319324e+23,0.011863003842198874
0.6900000000000001,7.071265110254941e+23,0.011785441850424901
0.6920000000000001,7.025117663016585e+23,0.011708529438360975
0.6940000000000001,6.979355147516833e+23,0.011632258579194721
0.6960000000000001,6.933972829177215e+23,0.011556621381962024
0.6980000000000001,6.888966053337441e+23,0.011481610088895734
0.7000000000000001,6.844330243697124e+23,0.01140721707282854
0.7020000000000001,6.800060900789388e+23,0.01133343483464898
0.704,6.756153600485641e+23,0.011260256000809403
0.706,6.712603992530922e+23,0.01118767332088487
0.708,6.669407799109148e+23,0.011115679665181913
0.71,6.626560813437667e+23,0.01104426802239611
0.712,6.584058898390486e+23,0.010973431497317476
0.714,6.541897985149613e+23,0.010903163308582688
0.716,6.500074071883886e+23,0.010833456786473144
0.718,6.458583222454771e+23,0.010764305370757952
0.72,6.417421565148524e+23,0.010695702608580875
0.722,6.376585291434211e+23,0.010627642152390352
0.724,6.336070654746995e+23,0.01056011775791166
0.726,6.295873969296261e+23,0.010493123282160436
0.728,6.255991608897946e+23,0.010426652681496576
0.73,6.21642000583068e+23,0.010360700009717798
0.732,6.177155649715161e+23,0.010295259416191934
0.734,6.138195086416357e+23,0.01023032514402726
0.736,6.099534916968005e+23,0.010165891528280008
0.738,6.061171796518957e+23,0.010101952994198261
0.74,6.023102433300966e+23,0.01003850405550161
0.742,5.985323587617405e+23,0.009975539312695675
0.744,5.947832070852518e+23,0.009913053451420862
0.746,5.910624744500787e+23,0.009851041240834645
0.748,5.8736985192159784e+23,0.00978949753202663
0.75,5.8370503538794735e+23,0.00972841725646579
0.752,5.80067725468747e+23,0.009667795424479117
0.754,5.7645762742567e+23,0.009607627123761167
0.756,5.728744510748235e+23,0.009547907517913725
0.758,5.6931791070090346e+23,0.009488631845015057
0.76,5.6578772497308683e+23,0.009429795416218113
0.762,5.6228361686262364e+23,0.00937139361437706
0.764,5.5880531356209625e+23,0.009313421892701604
