source,E_MeV,spectrum_per_MeV,flux_cm2_s,flux_per_MeV_cm2_s
15O,0.32215,0.25570998762151115,144000000.0,36822238.2174976
15O,0.32562,0.26025998740125333,144000000.0,37477438.18578048
15O,0.32908,0.2648199871805114,144000000.0,38134078.153993644
15O,0.33254,0.26940998695831725,144000000.0,38795038.121997684
15O,0.33601,0.27400998673563903,144000000.0,39457438.08993202
15O,0.33947,0.27862998651199267,144000000.0,40122718.05772694
15O,0.34294,0.2832599862878622,144000000.0,40789438.02545216
15O,0.3464,0.2879099860627636,144000000.0,41459037.993037954
15O,0.34986,0.29257998583669675,144000000.0,42131517.96048433
15O,0.35333,0.2972599856101459,144000000.0,42805437.927861005
15O,0.35679,0.3019599853826268,144000000.0,43482237.89509826
15O,0.36026,0.3066699851546237,144000000.0,44160477.86226581
15O,0.36372,0.31139998492565235,144000000.0,44841597.82929394
15O,0.36718,0.3161299846966811,144000000.0,45522717.79632208
15O,0.37065,0.3208799844667416,144000000.0,46206717.76321079
15O,0.37411,0.325639984236318,144000000.0,46892157.73002979
15O,0.37758,0.3304199840049263,144000000.0,47580477.69670939
15O,0.38104,0.3351999837735346,144000000.0,48268797.66338898
15O,0.3845,0.3399999835411747,144000000.0,48959997.62992916
15O,0.38797,0.34479998330881484,144000000.0,49651197.596469335
15O,0.39143,0.34960998307597085,144000000.0,50343837.5629398
15O,0.3949,0.3544399828421587,144000000.0,51039357.52927086
15O,0.39836,0.3592699826083466,144000000.0,51734877.49560191
15O,0.40182,0.36410998237405034,144000000.0,52431837.46186325
15O,0.40529,0.36894998213975416,144000000.0,53128797.4281246
15O,0.40875,0.3737999819049739,144000000.0,53827197.39431624
15O,0.41222,0.37865998166970943,144000000.0,54527037.36043816
15O,0.41568,0.38352998143396094,144000000.0,55228317.32649037
15O,0.41914,0.38839998119821256,144000000.0,55929597.29254261
15O,0.42261,0.39326998096246407,144000000.0,56630877.258594826
15O,0.42607,0.3981499807262315,144000000.0,57333597.22457733
15O,0.42954,0.4030399804895149,144000000.0,58037757.19049014
15O,0.433,0.4079199802532823,144000000.0,58740477.15647265
15O,0.43646,0.4128099800165657,144000000.0,59444637.122385465
15O,0.43993,0.4176999797798491,144000000.0,60148797.08829827
15O,0.44339,0.42259997954264833,144000000.0,60854397.05414136
15O,0.44686,0.4274899793059317,144000000.0,61558557.02005416
15O,0.45032,0.432389979068731,144000000.0,62264156.985897265
15O,0.45378,0.43727997883201436,144000000.0,62968316.95181007
15O,0.45725,0.4421799785948136,144000000.0,63673916.91765316
15O,0.46071,0.4470799783576129,144000000.0,64379516.883496255
15O,0.46418,0.45196997812089623,144000000.0,65083676.84940906
15O,0.46764,0.45686997788369554,144000000.0,65789276.815252155
15O,0.4711,0.4617599776469789,144000000.0,66493436.78116496
15O,0.47457,0.4666499774102623,144000000.0,67197596.74707778
15O,0.47803,0.4715399771735457,144000000.0,67901756.71299058
15O,0.4815,0.47641997693731314,144000000.0,68604476.6789731
15O,0.48496,0.48129997670108055,144000000.0,69307196.6449556
15O,0.48842,0.486179976464848,144000000.0,70009916.61093812
15O,0.49189,0.4910499762290995,144000000.0,70711196.57699034
15O,0.49535,0.4959199759933511,144000000.0,71412476.54304256
15O,0.49882,0.5007799757580866,144000000.0,72112316.50916448
15O,0.50228,0.5056399755228222,144000000.0,72812156.47528641
15O,0.50574,0.510489975288042,144000000.0,73510556.44147804
15O,0.50921,0.5153299750537458,144000000.0,74207516.40773939
15O,0.51267,0.5201599748199336,144000000.0,74903036.37407044
15O,0.51614,0.5249899745861215,144000000.0,75598556.3404015
15O,0.5196,0.5298099743527934,144000000.0,76292636.30680226
15O,0.52306,0.5346299741194654,144000000.0,76986716.27320303
15O,0.52653,0.5394299738871055,144000000.0,77677916.23974319
15O,0.52999,0.5442199736552298,144000000.0,78367676.20635308
15O,0.53346,0.5490099734233539,144000000.0,79057436.17296296
15O,0.53692,0.5537799731924463,144000000.0,79744316.13971227
15O,0.54038,0.5585499729615386,144000000.0,80431196.10646157
15O,0.54385,0.5632999727315992,144000000.0,81115196.07335028
15O,0.54731,0.5680399725021438,144000000.0,81797756.0403087
15O,0.55078,0.5727699722731725,144000000.0,82478876.00733684
15O,0.55424,0.5774899720446852,144000000.0,83158555.97443467
15O,0.5577,0.5821999718166821,144000000.0,83836795.94160223
15O,0.56117,0.5868899715896472,144000000.0,84512155.90890919
