E_MeV,sigma_nue_cm2,sigma_nux_cm2,sigma_mass_1_cm2,sigma_mass_2_cm2,sigma_mass_3_cm2,Ue1_abs2,Ue2_abs2,Ue3_abs2
3.3588235294117643,2.9160171287794615e-44,5.155883487227258e-45,2.141823157263467e-44,1.2360127155654496e-44,5.693579533959967e-45,0.6774768000000001,0.3001232,0.0224
3.459090909090909,3.0058090805927867e-44,5.3040367860165516e-45,2.2074334090453209e-44,1.2733302691445198e-44,5.858527596062565e-45,0.6774768000000001,0.3001232,0.0224
3.5593582887700532,3.09560313881455e-44,5.452182404435641e-45,2.273044840160265e-44,1.3106479173743391e-44,6.023468621670742e-45,0.6774768000000001,0.3001232,0.0224
3.6596256684491975,3.185399130910752e-44,5.600320971663414e-45,2.338657354012997e-44,1.3479656525082218e-44,6.188403187222163e-45,0.6774768000000001,0.3001232,0.0224
3.759893048128342,3.3029645234512657e-44,5.791925247351496e-45,2.4244848623549484e-44,1.3966596930602262e-44,6.402050175063906e-45,0.6774768000000001,0.3001232,0.0224
3.8601604278074864,3.3927939433289893e-44,5.939940478903965e-45,2.4901160448924694e-44,1.4339788286690923e-44,6.56687165548221e-45,0.6774768000000001,0.3001232,0.0224
3.9604278074866306,3.4826233675037607e-44,6.087955769208799e-45,2.5557472322360405e-44,1.471297969679544e-44,6.731693194299365e-45,0.6774768000000001,0.3001232,0.0224
4.060695187165775,3.572452795540313e-44,6.235971114343863e-45,2.6213784239642805e-44,1.508617115686446e-44,6.896514787583591e-45,0.6774768000000001,0.3001232,0.0224
4.16096256684492,3.6622822270563345e-44,6.383986510724615e-45,2.687009619702573e-44,1.5459362663241846e-44,7.061336431745003e-45,0.6774768000000001,0.3001232,0.0224
4.261229946524064,3.7800045805339335e-44,6.574975563120961e-45,2.7729236230594293e-44,1.5946343564440313e-44,7.274417136546653e-45,0.6774768000000001,0.3001232,0.0224
4.361497326203208,3.8698579018741243e-44,6.722903638378719e-45,2.8385681872905507e-44,1.6319545655694335e-44,7.439158766898839e-45,0.6774768000000001,0.3001232,0.0224
4.461764705882353,3.9597101483551867e-44,6.870835699821142e-45,2.904212151893253e-44,1.6692747310884915e-44,7.603904053376709e-45,0.6774768000000001,0.3001232,0.0224
4.562032085561497,4.049561391041277e-44,7.018771483873804e-45,2.969855556510966e-44,1.7065948558822442e-44,7.768652754228277e-45,0.6774768000000001,0.3001232,0.0224
4.6622994652406415,4.139411694867149e-44,7.166710749698407e-45,3.0354984373678856e-44,1.7439149425834047e-44,7.933404648555403e-45,0.6774768000000001,0.3001232,0.0224
4.762566844919786,4.257254830587475e-44,7.357229820904075e-45,3.1214791099082857e-44,1.7926163893632625e-44,8.146052954967418e-45,0.6774768000000001,0.3001232,0.0224
4.86283422459893,4.3471228828275915e-44,7.505104722338529e-45,3.187131939003185e-44,1.8299372980609595e-44,8.310745902311527e-45,0.6774768000000001,0.3001232,0.0224
4.963101604278075,4.4369893667793284e-44,7.652985383765244e-45,3.2527838913922054e-44,1.867258139207425e-44,8.475444129327473e-45,0.6774768000000001,0.3001232,0.0224
5.063368983957219,4.52685437616282e-44,7.800871460766994e-45,3.318435019460308e-44,1.904578916825282e-44,8.640147320306284e-45,0.6774768000000001,0.3001232,0.0224
5.163636363636363,4.616717997376733e-44,7.948762635847969e-45,3.38408537150061e-44,1.9418996346239809e-44,8.804855184217362e-45,0.6774768000000001,0.3001232,0.0224
5.263903743315508,4.706580310199496e-44,8.096658615853912e-45,3.4497349921062397e-44,1.9792202960296916e-44,8.969567452343471e-45,0.6774768000000001,0.3001232,0.0224
5.3641711229946525,4.82453404932897e-44,8.28675368341262e-45,3.5357769207890353e-44,2.0279252624270718e-44,9.181826027953867e-45,0.6774768000000001,0.3001232,0.0224
5.464438502673796,4.914409505737041e-44,8.4346023231135e-45,3.601433919034113e-44,2.0652465552895432e-44,9.346494960360856e-45,0.6774768000000001,0.3001232,0.0224
5.564705882352941,5.00428329134061e-44,8.582457070250326e-45,3.66708998232688e-44,2.1025677741500935e-44,9.511169489137015e-45,0.6774768000000001,0.3001232,0.0224
5.664973262032086,5.094155495571456e-44,8.730317597505187e-45,3.7327451606985326e-44,2.1398889229410527e-44,9.675849314329078e-45,0.6774768000000001,0.3001232,0.0224
5.765240641711229,5.184026201591038e-44,8.878183600537197e-45,3.798399500673329e-44,2.177210005320992e-44,9.840534157041556e-45,0.6774768000000001,0.3001232,0.0224
5.865508021390374,5.30205483547129e-44,9.067989856638364e-45,3.8844828539726705e-44,2.2259172361267685e-44,1.0052527166995233e-44,0.6774768000000001,0.3001232,0.0224
5.965775401069519,5.391935919174758e-44,9.215818705185305e-45,3.950143026269196e-44,2.263238832734193e-44,1.02171780120843e-44,0.6774768000000001,0.3001232,0.0224
6.0660427807486625,5.481815279560893e-44,9.3636538333296e-45,4.015802233589793e-44,2.300560351628555e-44,1.0381834610084657e-44,0.6774768000000001,0.3001232,0.0224
6.166310160427807,5.571693001517973e-44,9.511494931105499e-45,4.0814605234471846e-44,2.3378817965930127e-44,1.0546496676988763e-44,0.6774768000000001,0.3001232,0.0224
6.266577540106952,5.661569164449528e-44,9.659341708614552e-45,4.1471179402855235e-44,2.375203171169087e-44,1.071116394717828e-44,0.6774768000000001,0.3001232,0.0224
6.366844919786096,5.779659925915759e-44,9.848909340518796e-45,4.233235687399047e-44,2.4239123471508405e-44,1.0922937594696305e-44,0.6774768000000001,0.3001232,0.0224
6.46711229946524,5.869544452237626e-44,9.996726334854511e-45,4.2988978096638554e-44,2.461234147319174e-44,1.1087577622254999e-44,0.6774768000000001,0.3001232,0.0224
6.567379679144385,5.959427278254564e-44,1.0144549510364348e-44,4.3645589793687265e-44,2.498555869792587e-44,1.1252223311661208e-44,0.6774768000000001,0.3001232,0.0224
6.667647058823529,6.049308481528811e-44,1.0292378584238623e-44,4.43021923993901e-44,2.5358775180561137e-44,1.141687440381413e-44,0.6774768000000001,0.3001232,0.0224
6.7679144385026735,6.139188134976298e-44,1.0440213290657929e-44,4.495878632200263e-44,2.5731990953894325e-44,1.1581530655181882e-44,0.6774768000000001,0.3001232,0.0224
6.868181818181818,6.229066307209405e-44,1.0588053379536338e-44,4.561537194569932e-44,2.610520604881777e-44,1.1746191836649632e-44,0.6774768000000001,0.3001232,0.0224
6.968449197860962,6.34721775150742e-44,1.0777390958341233e-44,4.647688633147971e-44,2.659231892306491e-44,1.1957754177212053e-44,0.6774768000000001,0.3001232,0.0224
7.068716577540107,6.437102624580572e-44,1.0925207304761667e-44,4.713350969431959e-44,2.6965537511968423e-44,1.2122393649041054e-44,0.6774768000000001,0.3001232,0.0224
7.168983957219251,6.526985928739491e-44,1.1073029343093828e-44,4.779012426390312e-44,2.733875537583329e-44,1.2287038333846173e-44,0.6774768000000001,0.3001232,0.0224
