T_e_MeV,epsilon_sk_like,background_sk_shape
2.5,0.003287661385934009,1.0
2.5500000000000003,0.003790617322036654,1.0
2.6,0.004370179543444354,1.0
2.6500000000000004,0.005037905171317081,1.0
2.7,0.005807058446379339,1.0
2.75,0.0066928509242848554,1.0
2.8000000000000003,0.007712711512912037,1.0
2.85,0.008886588719087945,1.0
2.9000000000000004,0.010237287162433691,1.0
2.95,0.011790839864200946,1.0
3.0,0.013576916943744367,1.0
3.0500000000000003,0.015629270047407048,0.9834714538216174
3.1,0.01798620996209156,0.9672161004820059
3.1500000000000004,0.020691112270087898,0.9512294245007139
3.2,0.02379294239816462,0.9355069850316177
3.25,0.027346786796182875,0.9200444146293233
3.3000000000000003,0.03141437103157014,0.9048374180359595
3.35,0.03606453809916635,0.8898817709880238
3.4000000000000004,0.041373651060075414,0.8751733190429474
3.45,0.0474258731775668,0.8607079764250578
3.5,0.05431326613264062,0.8464817248906141
3.5500000000000003,0.06213563308642973,0.8324906126116026
3.6,0.0710000191507991,0.8187307530779818
3.6500000000000004,0.08101976866530793,0.8051983240180705
3.7,0.09231302875229805,0.7918895663367816
3.75,0.10500058502026482,0.7788007830714049
3.8000000000000003,0.11920292202211763,0.7659283383646486
3.85,0.1350364229228024,0.7532686564546568
3.9000000000000004,0.15260866484263114,0.7408182206817178
3.95,0.1720128329357614,0.7285735725113929
4.0,0.1933213698023087,0.7165313105737893
4.05,0.21657909576817586,0.7046880897187134
4.1000000000000005,0.24179617240741033,0.6930406200864414
4.15,0.2689414213699953,0.6815856661938479
4.2,0.2979366301210705,0.6703200460356392
4.25,0.32865254651727005,0.6592406302004438
4.3,0.36090725483714864,0.6483443410015097
4.3500000000000005,0.3944675127794147,0.6376281516217732
4.4,0.429053403116534,0.6270890852730561
4.45,0.4643463291660286,0.6167242143691607
4.5,0.5,0.6065306597126334
4.55,0.5356536708339714,0.5965055896949684
4.6000000000000005,0.5709465968834666,0.5866462195100317
4.65,0.605532487220586,0.5769498103804866
4.7,0.6390927451628513,0.5674136687970037
4.75,0.6713474534827301,0.5580351457700471
4.800000000000001,0.70206336987893,0.5488116360940263
4.8500000000000005,0.7310585786300052,0.5397405776236126
4.9,0.7582038275925901,0.5308194505620139
4.95,0.7834209042318241,0.522045776761016
5.0,0.8066786301976913,0.513417119032592
5.050000000000001,0.8279871670642389,0.5049310804718896
5.1000000000000005,0.8473913351573692,0.4965853037914094
5.15,0.8649635770771977,0.48837747066618703
5.2,0.8807970779778825,0.48030530108979935
5.25,0.8949994149797352,0.4723665527410147
5.300000000000001,0.9076869712477021,0.46455902036091135
5.3500000000000005,0.9189802313346923,0.4568805351402919
5.4,0.9289999808492011,0.4493289641172215
5.45,0.9378643669135703,0.44190220958452525
5.5,0.9456867338673594,0.4345982085070782
5.550000000000001,0.9525741268224334,0.4274149319487266
5.6000000000000005,0.9586263489399246,0.42035038450868184
5.65,0.9639354619008337,0.4134026037672293
5.7,0.9685856289684298,0.4065696597405991
5.75,0.9726532132038171,0.39984965434484737
5.800000000000001,0.9762070576018355,0.3932407208685982
5.8500000000000005,0.9793088877299122,0.3867410234545011
5.9,0.9820137900379085,0.38034875658925854
5.95,0.9843707299525929,0.3740621446020826
6.0,0.9864230830562556,0.36787944117144233
6.050000000000001,0.9882091601357991,0.3617989288399625
6.1000000000000005,0.9897627128375664,0.3558189185373419
6.15,0.9911134112809121,0.3499377491111553
6.2,0.9922872884870879,0.34415378686541237
6.25,0.9933071490757153,0.3384654251067422
6.300000000000001,0.9941929415536206,0.33287108369807944
6.3500000000000005,0.994962094828683,0.3273692086197275
6.4,0.9956298204565557,0.32195827153767587
6.45,0.9962093826779632,0.31663676937905316
6.5,0.9967123386140659,0.3114032239145977
6.550000000000001,0.9971487511239807,0.306256181348028
6.6000000000000005,0.9975273768433653,0.301194211912202
