source,r_over_Rsun,production_density_norm,shell_fraction_per_Rsun,cumulative_fraction
pp,0.242,0.16405872037144337,3.7178990328478845,0.6938489820471391
pp,0.244,0.1592100524241509,3.6679016127274293,0.7012347826927144
pp,0.246,0.1544665396756859,3.6171970798707345,0.7085198813853126
pp,0.248,0.14982735642112555,3.5658413609528874,0.7157029198261362
pp,0.25,0.14529162554555944,3.5138898195107324,0.7227826510065999
pp,0.252,0.14085842092104495,3.461397189417144,0.7297579380155278
pp,0.254,0.13652676979087344,3.408417511283238,0.7366277527162282
pp,0.256,0.13229565513805333,3.355004071830804,0.7433911742993422
pp,0.258,0.128164018035038,3.3012093462694763,0.7500473877174425
pp,0.26,0.12413075997184893,3.2470849437054228,0.7565956820074174
pp,0.262,0.12019474515986847,3.19268155560083,0.7630354485067237
pp,0.264,0.11635480280870379,3.1380489072961155,0.7693661789696207
pp,0.266,0.11260972937365064,3.0832357125996492,0.7755874635895165
pp,0.268,0.10895829077141307,3.0282896314428105,0.7816989889335589
pp,0.27,0.10539922456186425,2.9732572305914804,0.7877005357955932
pp,0.272,0.1019312420937629,2.918183947398607,0.7935919769735833
pp,0.274,0.09855303061246592,2.863114056576117,0.7993732749775581
pp,0.276,0.09526325532781016,2.8080906399585954,0.8050444796740928
pp,0.278,0.09206056144046042,2.753155559225273,0.8106057258732766
pp,0.28,0.08894357612514932,2.698349431541433,0.8160572308640434
pp,0.28200000000000003,0.08591091046935914,2.6437116080751135,0.8213992919036599
pp,0.28400000000000003,0.0829611613661215,2.589280155340075,0.8266322836670751
pp,0.28600000000000003,0.08009291335973233,2.5350918393113218,0.8317566556617265
pp,0.28800000000000003,0.07730474044329967,2.4811821122550684,0.8367729296132929
pp,0.29,0.07459520780716326,2.427585102211041,0.8416816968277588
pp,0.292,0.07196287353733737,2.3743336050610764,0.8464836155350309
pp,0.294,0.06940629026324766,2.3214590791146223,0.8511794082192067
pp,0.296,0.06692400675413926,2.2689916421383884,0.8557698589404596
pp,0.298,0.06451456946364621,2.216960070754554,0.8602558106533525
pp,0.3,0.06217652402211629,2.16539180212924,0.8646381625262364
pp,0.302,0.05990841667638929,2.114312937870621,0.8689178672662362
pp,0.304,0.05770879567682595,2.0637482500539286,0.8730959284541607
pp,0.306,0.055576212611483086,2.013721189288837,0.8771733978935035
pp,0.308,0.05350922368742193,1.9642538947431207,0.8811513729775354
pp,0.31,0.05150639095922881,1.915367206035266,0.8850309940783139
pp,0.312,0.04956628350491174,1.8670806769076123,0.8888134419612568
pp,0.314,0.04768747854942219,1.8194125905909353,0.8924999352287554
pp,0.316,0.045868562536128615,1.7723799767707848,0.8960917277961171
pp,0.318,0.04410813214664531,1.725998630065634,0.8995901064029536
pp,0.32,0.0424047952694926,1.6802831299268595,0.902996388162946
pp,0.322,0.04075717191813208,1.635246861870704,0.9063119181547435
pp,0.324,0.039163895098987066,1.5909020399527982,0.909538067056567
pp,0.326,0.037623611630118056,1.5472597303963644,0.9126762288269162
pp,0.328,0.03613498291128187,1.5043298762860169,0.9157278184335986
pp,0.33,0.034696685646156494,1.4621213232400507,0.9186942696331247
pp,0.332,0.03330741251756416,1.4206418459752324,0.92157703280234
pp,0.334,0.03196587281657225,1.3798981756794222,0.9243775728239947
pp,0.336,0.03067079302639403,1.3398960281088104,0.9270973670277829
pp,0.338,0.029420917362052136,1.3006401323281742,0.9297379031882199
pp,0.34,0.02821500826680242,1.2621342600142675,0.9323006775805623
pp,0.342,0.027051846866350402,1.224381255244382,0.934787193095821
pp,0.34400000000000003,0.025930233381920572,1.187383064694048,0.9371989574157594
pp,0.34600000000000003,0.024848987503266126,1.1511407681699712,0.9395374812486235
pp,0.34800000000000003,0.023806948722728975,1.1156546094064625,0.9418042766261999
pp,0.35000000000000003,0.022802976631480683,1.0809240270559153,0.9440008552626623
pp,0.352,0.021835951179091463,1.0469476858062245,0.9461287269755244
pp,0.354,0.02090477289758843,1.0137235075604567,0.9481893981688911
pp,0.356,0.02000836309117588,0.9812487026165629,0.9501843703790681
pp,0.358,0.019145663992798483,0.9495198007874557,0.9521151388824721
pp,0.36,0.01831563888873418,0.9185326824043224,0.9539831913656639
pp,0.362,0.017517272212407318,0.8882826091486767,0.9557900066572169
pp,0.364,0.016749569608612683,0.8587642546612345,0.9575370535210268
pp,0.366,0.01601155796934025,0.8299717348783722,0.9592257895105664
pp,0.368,0.015302285442386473,0.8018986380495551,0.9608576598834943
pp,0.37,0.014620821413931957,0.7745380543917669,0.9624340965759356
pp,0.372,0.013966256466258136,0.7478826053396432,0.963956517235667
pp,0.374,0.013337702311764638,0.7219244723525817,0.9654263243133592
pp,0.376,0.012734291704438877,0.6966554252427836,0.9668449042109546
pp,0.378,0.012155178329914935,0.6720668499907043,0.968213626486188
pp,0.38,0.011599536675244378,0.6481497760169674,0.9695338431121957
pp,0.382,0.011066561879485444,0.6248949028823182,0.970806887791095
pp,0.384,0.0105554695661988,0.6022926263896459,0.972034075320367
pp,0.386,0.010065495658919378,0.5803330640645477,0.9732167010108213
pp,0.388,0.00959589618065331,0.5590060799932728,0.9743560401548791
pp,0.39,0.009145947038427861,0.5383013089992196,0.9754533475438716
pp,0.392,0.008714943793899348,0.5182081801413846,0.9765098570330122
pp,0.394,0.008302201421001725,0.4987159395204243,0.977526781152674
pp,0.396,0.007907054051593435,0.47981367238005856,0.9785053107645745
pp,0.398,0.007528854710036038,0.46149032449365956,0.9794466147614482
pp,0.4,0.007166975037612408,0.44373472282784393,0.9803518398087697
pp,0.402,0.0068208050076664336,0.4265355954768209,0.9812221101270744
pp,0.404,0.006489752632319619,0.40988159086309184,0.9820585273134143
pp,0.406,0.00617324366159337,0.393761296201884,0.9828621702004793
pp,0.40800000000000003,0.005870721275738465,0.3781632552283931,0.9836340947519095
pp,0.41000000000000003,0.00558164577154575,0.36307598518852113,0.9843753339923265
pp,0.41200000000000003,0.0053054942433850266,0.34848799309537043,0.9850868979706103
pp,0.41400000000000003,0.005041760259690975,0.33438779125518575,0.9857697737549609
pp,0.41600000000000004,0.004789953535587553,0.32076391206784205,0.9864249254582839
pp,0.418,0.0045495996023147845,0.30760492210828355,0.98705329429246
pp,0.42,0.004320239474094062,0.29489943549654235,0.9876557986500648
pp,0.422,0.004101429313040986,0.28263612656512443,0.9882333342121264
pp,0.424,0.003892740092707315,0.2708037418336208,0.9887867740805252
pp,0.426,0.003693757260806912,0.25939111130141124,0.9893169689336602
pp,0.428,0.003504080401653656,0.2483871590702374,0.9898247472040318
pp,0.43,0.0033233228988132184,0.237780913309292,0.9903109152764114
pp,0.432,0.0031511115984444414,0.22756151557623314,0.9907762577052969
pp,0.434,0.0029870864737806895,0.21771822950825453,0.9912215374503813
pp,0.436,0.002830900291176309,0.20824044889797144,0.9916474961287876
pp,0.438,0.0026822182781188904,0.19911770516946672,0.992054854282855
pp,0.44,0.0025407177935836693,0.19033967427033124,0.9924443116622949
pp,0.442,0.0024060880010831212,0.18189618299599722,0.9928165475195612
pp,0.444,0.002278029544741524,0.17377721476302785,0.9931722209173202
pp,0.446,0.0021562542287019678,0.16597291484836105,0.9935119710469316
pp,0.448,0.0020404847001513475,0.1584735951117642,0.9938364175568917
pp,0.45,0.0019304541362277093,0.15126973821897627,0.9941461608902225
pp,0.452,0.0018259059350536064,0.14435200138316404,0.9944417826298246
pp,0.454,0.0017265934111191953,0.1377112196424355,0.9947238458508503
pp,0.456,0.0016322794952194557,0.13133840869121244,0.9949928954791839
pp,0.458,0.001542736439131127,0.12522476728327536,0.9952494586551583
pp,0.46,0.0014577455251970919,0.11936167922427786,0.995494045101666
pp,0.462,0.0013770967809683598,0.11374071497144701,0.9957271474958617
pp,0.464,0.0013005886990372206,0.10835363285808869,0.9959492418436912
pp,0.466,0.0012280279621790153,0.10319237996037121,0.9961607878565096
pp,0.468,0.0011592291739045903,0.09824909262368449,0.9963622293290937
